item_code,frequency,decision_text,domain
"B_O_NBHDSTRESS_CL2","Almost Always","The student's neighborhood is almost always experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Frequently","The student's neighborhood is frequently experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Sometimes","The student's neighborhood is sometimes experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Occasionally","The student's neighborhood is occasionally experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Almost Never","The student's neighborhood is almost never experiencing significant stressors.","General"
"A_S_O_ACTIVITY_CL3","Almost Always","Almost always engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Frequently","Frequently engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Sometimes","Sometimes engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Occasionally","Occasionally engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Almost Never","Almost never engaged in at least one extracurricular activity.","General"
"S_O_COMMCONN_CL2","Almost Always","Almost always appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL2","Frequently","Frequently appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL2","Sometimes","Sometimes appears to experience a sense of connection in their community","General"
"S_O_COMMCONN_CL2","Occasionally","Occasionally appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL2","Almost Never","Almost never appears to experience a sense of connection in their community.","General"
"O_P_HYGIENE_CL2","Almost Always","Almost always appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Frequently","Frequently appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Sometimes","Sometimes appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Occasionally","Occasionally appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Almost Never","Almost never appears to have the resources to address basic hygiene needs.","General"
